5PW,E16000129,North East Essex PCT,20,6,14,,6,4,9,,
5PN,E16000123,Peterborough PCT,19,*,*,,10,*,*,,
5P1,E16000103,South East Essex PCT,40,12,28,,12,7,16,,
5PY,E16000131,South West Essex PCT,38,14,24,,9,7,12,,
5PT,E16000127,Suffolk PCT,27,10,17,,4,3,5,,
5PV,E16000128,West Essex PCT,15,*,*,,5,*,*,,
,,,,,,,,,,,
H,E12000007,London,"2,233",518,"1,715",,27,13,41,,
Q36,E18000007,London ,"2,233",518,"1,715",,27,13,41,,
5C2,E16000009,Barking & Dagenham PCT,29,*,*,,16,*,*,,
5A9,E16000006,Barnet PCT,99,26,73,,28,15,40,,
TAK,E17000002,Bexley Care Trust,116,30,86,,50,27,71,,
5K5,E16000045,Brent Teaching PCT,62,14,48,,20,9,31,,
5A7,E16000004,Bromley PCT,115,40,75,,37,27,46,,
5K7,E16000047,Camden PCT,54,7,47,,25,6,42,,
5C3,E16000010,City & Hackney Teaching PCT,75,11,64,,29,9,50,,
5K9,E16000049,Croydon PCT,149,32,117,,41,18,62,,
5HX,E16000035,Ealing PCT,77,26,51,,23,15,30,,
5C1,E16000008,Enfield PCT,35,7,28,,11,5,17,,
5A8,E16000005,Greenwich Teaching PCT,96,24,72,,38,19,56,,
5H1,E16000030,Hammersmith & Fulham PCT,51,10,41,,28,11,44,,
5C9,E16000013,Haringey Teaching PCT,38,*,*,,15,*,*,,
5K6,E16000046,Harrow PCT,54,18,36,,22,15,30,,
5A4,E16000002,Havering PCT,25,11,14,,11,10,11,,
5AT,E16000007,Hillingdon PCT,64,21,43,,23,15,31,,
5HY,E16000036,Hounslow PCT,54,15,39,,21,12,31,,
5K8,E16000048,Islington PCT,68,13,55,,33,13,53,,
5LA,E16000056,Kensington & Chelsea PCT,28,6,22,,18,8,27,,
5A5,E16000003,Kingston PCT,49,12,37,,31,15,45,,
5LD,E16000058,Lambeth PCT,167,19,148,,55,13,97,,
5LF,E16000060,Lewisham PCT,146,25,121,,53,18,86,,
5C5,E16000012,Newham PCT,66,17,49,,21,10,33,,
5NA,E16000083,Redbridge PCT,42,11,31,,15,8,22,,
5M6,E16000067,Richmond & Twickenham PCT,15,*,*,,8,*,*,,
5LE,E16000059,Southwark PCT,163,27,136,,56,19,93,,
5M7,E16000068,Sutton & Merton PCT,98,35,63,,25,18,32,,
5C4,E16000011,Tower Hamlets PCT,45,8,37,,18,6,30,,
5NC,E16000084,Waltham Forest PCT,26,7,19,,10,5,15,,
5LG,E16000061,Wandsworth PCT,82,18,64,,27,12,40,,
5LC,E16000057,Westminster PCT,45,17,28,,20,15,26,,
,,,,,,,,,,,
J,E12000008,South East,903,232,671,,10,5,15,,
Q37,E18000008,South East Coast ,663,156,507,,15,7,22,,
5LQ,E16000063,Brighton & Hove City PCT,44,8,36,,16,6,26,,
5P7,E16000109,East Sussex Downs & Weald PCT,70,16,54,,20,10,30,,
5QA,E16000132,Eastern & Coastal Kent PCT,101,20,81,,13,5,21,,
5P8,E16000110,Hastings & Rother PCT,31,6,25,,17,7,26,,
5L3,E16000055,Medway PCT,96,20,76,,36,15,57,,
5P5,E16000107,Surrey PCT,111,36,75,,10,7,13,,
5P9,E16000111,West Kent PCT,107,29,78,,15,8,22,,
5P6,E16000108,West Sussex PCT,103,21,82,,13,5,20,,
,,,,,,,,,,,
Q38,E18000009,South Central ,240,76,164,,6,4,8,,
5QG,E16000137,Berkshire East PCT,23,*,*,,6,*,*,,
5QF,E16000136,Berkshire West PCT,51,18,33,,11,8,14,,
5QD,E16000134,Buckinghamshire PCT,16,*,*,,3,*,*,,
5QC,E16000133,Hampshire PCT,51,22,29,,4,3,4,,
5QT,E16000147,Isle of Wight PCT,23,8,15,,17,12,21,,
5CQ,E16000016,Milton Keynes PCT,28,9,19,,11,7,15,,
5QE,E16000135,Oxfordshire PCT,18,7,11,,3,2,3,,
5FE,E16000027,Portsmouth City Teaching PCT,17,*,*,,8,*,*,,
5L1,E16000054,Southampton City PCT,13,*,*,,6,*,*,,
,,,,,,,,,,,
K,E12000009,South West,521,124,397,,10,5,15,,
Q39,E18000010,South West ,521,124,397,,10,5,15,,
5FL,E16000028,Bath & North East Somerset PCT,16,*,*,,9,*,*,,
5QN,E16000143,Bournemouth & Poole PCT,14,8,6,,4,5,4,,
5QJ,E16000139,Bristol PCT,21,*,*,,5,*,*,,
5QP,E16000144,Cornwall & Isles Of Scilly PCT,84,18,66,,16,7,24,,
5QQ,E16000145,Devon PCT,72,18,54,,10,5,14,,
5QM,E16000142,Dorset PCT,21,*,*,,5,*,*,,
5QH,E16000138,Gloucestershire PCT,35,7,28,,6,2,9,,
5M8,E16000069,North Somerset PCT,11,*,*,,5,*,*,,
5F1,E16000024,Plymouth Teaching PCT,54,19,35,,21,15,27,,
5QL,E16000141,Somerset PCT,49,9,40,,9,3,15,,
5A3,E16000001,South Gloucestershire PCT,13,*,*,,5,*,*,,
5K3,E16000044,Swindon PCT,23,*,*,,11,*,*,,
TAL,E17000003,Torbay Care Trust,11,*,*,,8,*,*,,
5QK,E16000140,Wiltshire PCT,97,14,83,,20,6,35,,
,,,,,,,,,,,
"1.  A finished consultant episode (FCE) is a continuous period of admitted patient care under one consultant within one healthcare provider. FCEs are counted against the year in which they end. Figures do not represent the number of different patients, as a person may have more than one episode of care within the same stay in hospital or in different stays in the same year.",,,,,,,,,,,
2. The primary diagnosis is the first of up to 20 (14 from 2002-03 to 2006-07 and 7 prior to 2002-03) diagnosis fields in the Hospital Episode Statistics (HES) data set and provides the main reason why the patient was admitted to hospital.,,,,,,,,,,,
3. ICD-10 Codes: E66 - Obesity.,,,,,,,,,,,
"4. These figures represent the number of episodes where the procedure (or intervention) was recorded in any of the 24 (12 from 2002/03 to 2006/07 and 4 prior to 2002/03) operative procedure fields in a Hospital Episode Statistics (HES) record. A record is only included once in each count, even if the procedure is recorded in more than one operative procedure field of the record. Please note that more procedures are carried out than episodes with a main or secondary procedure.  For example, patients under going a ‘cataract operation’ would tend to have at least two procedures – removal of the faulty lens and the fitting of a new one – counted in a single episode.",,,,,,,,,,,
"5. The term 'bariatric surgery' is often used to define a group of procedures that can be performed to facilitate weight loss although these procedures can be performed for conditions other than weight loss.  It includes stomach stapling, gastric bypasses and sleeve gastrectomy. The procedures for tables 7.7 and 7.8  show the defined range of procedures when a corresponding main diagnosis of Obesity (ICD10-E66) is also present. Definition of codes can be found in Appendix B.",,,,,,,,,,,
"6. From 2012/13 the list of OPCS 4.6 codes used to define “bariatric surgery” has been amended in line with the methodology used by Health Resource Groups (HRGs) this is covered in more detail in the Methodological Change Note http://www.hscic.gov.uk/media/13556/Statistics-on-Obesity-Physical-Activity-and-Diet-England-2014/pdf/MethChange201402_SOPAD.pdf 
This definitional change has a minimal effect on previous years’ data; between 20 and 30 cases a year from 2009/10 onwards when OPCS 4.5 and 4.6 codes were used, following on from the introduction of a specific code for maintenance of gastric band in OPCS-4.5 in 2009/10. All OPCS-4.2, OPCS-4.3, OPCS-4.4, OPCS-4.5 and OPCS-4.6 procedure codes used to define bariatric surgery are described in Appendix B.",,,,,,,,,,,
7. Figures have not been adjusted for shortfalls in data.,,,,,,,,,,,
"8. Counts include people resident in English Strategic Health Authorites (SHA) only, including admissions where the SHA of residence was England but not further specified and excludes admissions where the SHA of residence was unknown.",,,,,,,,,,,
"9. Office for National Statistics (ONS estimated resident population mid-2011 figures have been used to calculate FCEs per 100,000 population.  Information on ONS population data is available at: ",,,,,,,,,,,
http://www.ons.gov.uk/ons/rel/pop-estimate/population-estimates-for-england-and-wales/mid-2011--2011-census-based-/index.html,,,,,,,,,,,
10. Totals include episodes where the gender was unknown or not specied.,,,,,,,,,,,
11.  * in this table means a figure between 1 and 5.,,,,,,,,,,,
"12.The data presented in this report are for inpatients only, so does not reflect all hospital activity. This should be considered when interpreting the data as practice may vary over time and between regions. In particular, practices vary between hospitals as to whether some bariatric procedures are carried out in outpatient or inpatient settings. This may particularly be the case for maintenance procedures. OPCS-4.5 introduced a specific code for maintenance of gastric band. OPCS-4.5 was introduced in 2009/10. Inconsistencies in the use of this code may have contributed to the decrease seen this year and the increases seen from 2009/10. This is apparent for one hospital site in particular, Royal Derby Hospital, which has an impact (mainly) on the figures for East Midlands Strategic Health Authority and the residing Primary Care Trusts, but also the national figures.  See Appendix A for further detail on HES.  ",,,,,,,,,,,
,,,,,,,,,,,
Source:,,,,,,,,,,,
"Hospital Episode Statistics (HES), Health and Social Care Information Centre.",,,,,,,,,,,
,,,,,,,,,,,
"Copyright © 2014. Health and Social Care Information Centre, Lifestyles Statistics. All rights reserved.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Table 7.9 Number of prescription items, net ingredient cost and average net ingredient cost per item of drugs for the treatment of obesity prescribed in Primary Care and dispensed in the community, 2002 to 2012",,,,,,,,,,,
,,,,,,,,,,,
England,,,,,,,,,,,Thousands / £
,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,
Prescription Items (thousands),,,,,,,,,,,
Orlistat,540,484,492,645,774,827,848,"1,080","1,087",898,392
Sibutramine,196,203,208,226,263,294,325,370,22,0,0
Rimonabant,-,-,-,-,23,112,106,-,0,0,0
Total,737,688,699,871,"1,060","1,233","1,278","1,450","1,109",898,392
,,,,,,,,,,,
Net Ingredient Cost (£ 000),,,,,,,,,,,
Orlistat,"23,401","21,036","21,391","27,020","32,476","32,047","29,980","36,769","36,297","30,015","13,256"
Sibutramine,"7,752","8,458","9,314","10,984","13,654","13,093","9,595","10,024",595,1,0
Rimonabant,-,-,-,-,"1,411","6,440","5,237",-,1,0,0
Total,"31,203","29,532","30,706","38,004","47,541","51,580","44,812","46,793","36,892","30,016","13,256"
,,,,,,,,,,,
Net Ingredient Cost per item (£),,,,,,,,,,,
Orlistat,43,43,44,42,42,39,35,34,33,33,34
Sibutramine,39,42,45,49,52,45,30,27,27,31,26
Rimonabant,-,-,-,-,62,58,50,-,53,50,51
Total,42,43,44,44,45,42,35,32,33,33,34
,,,,,,,,,,,
1.  Prescriptions are written on a prescription form known as a FP10. Each single item written on the form is counted as a prescription item.,,,,,,,,,,,
"2.  Net Ingredient Cost (NIC) is the basic cost of a drug. It does not take account of discounts, dispensing costs, fees or prescription charge income.",,,,,,,,,,,
"3.  This information was obtained from the Prescribing Analysis and Cost Tool  (PACT) system, which covers prescriptions prescribed by GPs, nurses, pharmacists and others in England and dispensed in the community in the UK. Prescriptions written in hospitals /clinics that are dispensed in the community, prescriptions dispensed in hospitals, dental prescribing and private prescriptions are not included in PACT data. ",,,,,,,,,,,
4.  Prescriptions written in England but dispensed outside England are included.,,,,,,,,,,,
"5.  Rimonabant was only available on prescription from July 2006, therefore figures for Rimonbant in 2006 only reflect six months worth of data.",,,,,,,,,,,
"6. On 16th January 2009, the European Commission issued a decision to withdraw the marketing authorisation for Rimonabant (Acomplia) following an assessment of the benefits and risks of taking this medicine.",,,,,,,,,,,
7.  Up until 2007 'total' included other drugs that may be used to treat obesity which include Phentermine and Diethylpropion Hydrochloride.,,,,,,,,,,,
"8. On 21st January 2010, the European Medicines Agency (EMA) released a statement advising the suspension of sibutramine following a study which showed that there was an increased risk of non-fatal heart attacks and strokes outweighing the benefits of this weight loss drug. Therefore, data on Sibutramine will be limited for 2010-2012.",,,,,,,,,,,
"9. Mazindol  is not found in the National Institute for Clinical Excellence (NICE) obesity guidance or in the BNF guidance.  This suggests there are no UK recommendations for its use. “The PACT system uses the therapeutic classifications defined in the British National Formulary (BNF). No information on why a drug is prescribed is available and as drugs can be prescribed to treat more than one condition it is impossible to separate the different conditions that a drug was prescribed for.”  NHS Prescription services have coded Mazindol within BNF section 4.5 Drugs used in the treatment of obesity, but as prescription data has no information as to why it was prescribed it cannot be stated it was definitely used for the treatment of obesity in this instance. Consequently Mazindol has been excluded, the number of data items affected is very small and does not have a major effect on the totals overall.
",,,,,,,,,,,
http://guidance.nice.org.uk/CG43/NICEGuidance/doc/English ,,,,,,,,,,,
,,,,,,,,,,,
Source:,,,,,,,,,,,
"Prescribing Analyses and Cost (PACT) from the Prescription Pricing Division of the NHS Business Services Authority (PPD of the NHS BSA). Health and Social Care Information Centre, Lifestyles Statistics.",,,,,,,,,,,
,,,,,,,,,,,
"Copyright © 2014, re-used with the permission of the Prescription Pricing Division.",,,,,,,,,,,
,,,,,,,,,,,
"Copyright © 2014. Health and Social Care Information Centre, Lifestyles Statistics. All rights reserved.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Table 7.10 Number of prescription items of drugs for the treatment of obesity prescribed in Primary Care and dispensed in the community, by Strategic Health Authority (SHA), 2012",,,,,,,,,,,
,,,,,,,,,,,
England,,,,,,,,,,,
,Prescription Items (thousands),,,"Prescription Items (thousands) per 100,000 population",,,,,,,
,Total,Orlistat,,Total,Orlistat,,,,,,
,,,,,,,,,,,
England,392,392,,0.74,0.74,,,,,,
,,,,,,,,,,,
North East SHA,23,23,,0.88,0.88,,,,,,
North West SHA,68,68,,0.97,0.97,,,,,,
Yorkshire and the Humber SHA,49,49,,0.92,0.92,,,,,,
East Midlands SHA,30,30,,0.67,0.67,,,,,,
West Midlands SHA,45,45,,0.8,0.8,,,,,,
East of England SHA,35,35,,0.6,0.6,,,,,,
London SHA,64,64,,0.78,0.78,,,,,,
South East Coast,27,27,,0.6,0.6,,,,,,
South Central,17,17,,0.4,0.4,,,,,,
South West SHA,33,33,,0.63,0.63,,,,,,
,,,,,,,,,,,
1.  Prescriptions are written on a prescription form known as a FP10.  Each single item written on the form is counted as a prescription item.,,,,,,,,,,,
"2.  This information was obtained from the Prescribing Analysis and Cost Tool  (PACT) system, which covers prescriptions prescribed by GPs, nurses, pharmacists and others in England and dispensed in the community in the UK. Prescriptions written in hospitals /clinics that are dispensed in the community, prescriptions dispensed in hospitals, dental prescribing and private prescriptions are not included in PACT data.",,,,,,,,,,,
"3.  For data at Strategic Health Authority (SHA) level, prescriptions written by a prescriber located in a particular SHA but dispensed outside that SHA will be included in the SHA in which the prescriber is based.",,,,,,,,,,,
4.  Prescriptions written in England but dispensed outside England are included.,,,,,,,,,,,
"5. Office for National Statistics (ONS) estimated resident population mid-2011 figures have been used to calculate prescription items per 100,000 population.  Information on ONS population data is available at: ",,,,,,,,,,,
http://www.ons.gov.uk/ons/rel/pop-estimate/population-estimates-for-england-and-wales/mid-2011--2011-census-based-/index.html,,,,,,,,,,,
6.  The 'Total' column includes Sibutramine which is not shown separately due to limited data for 2010 and may not equal the sum of the individual drugs due to rounding.,,,,,,,,,,,
7.  The England figures include an unidentified Doctors element (where it is not possible for the Prescription Pricing Division of the Business Service Authority to allocate to a SHA).,,,,,,,,,,,
,,,,,,,,,,,
Source:,,,,,,,,,,,
"Prescribing Analyses and Cost (PACT) from the Prescription Pricing Division of the NHS Business Services Authority (PPD of the NHS BSA). Health and Social Care Information Centre, Lifestyles Statistics.",,,,,,,,,,,
,,,,,,,,,,,
"Copyright © 2014, re-used with the permission of the Prescription Pricing Division.",,,,,,,,,,,
,,,,,,,,,,,
"Copyright © 2014. Health and Social Care Information Centre, Lifestyles Statistics. All rights reserved.",,,,,,,,,,,
