5C3,E16000010,City & Hackney Teaching PCT,61,*,*,,24,*,*,,,,
5K9,E16000049,Croydon PCT,103,22,81,,28,12,43,,,,
5HX,E16000035,Ealing PCT,101,33,68,,30,19,40,,,,
5C1,E16000008,Enfield PCT,28,12,16,,9,8,10,,,,
5A8,E16000005,Greenwich Teaching PCT,82,17,65,,32,13,51,,,,
5H1,E16000030,Hammersmith & Fulham PCT,77,24,53,,42,27,57,,,,
5C9,E16000013,Haringey Teaching PCT,10,*,*,,4,*,*,,,,
5K6,E16000046,Harrow PCT,50,12,38,,21,10,31,,,,
5A4,E16000002,Havering PCT,19,9,10,,8,8,8,,,,
5AT,E16000007,Hillingdon PCT,40,11,29,,15,8,21,,,,
5HY,E16000036,Hounslow PCT,78,16,62,,31,12,49,,,,
5K8,E16000048,Islington PCT,66,12,54,,32,12,52,,,,
5LA,E16000056,Kensington & Chelsea PCT,47,12,35,,30,15,44,,,,
5A5,E16000003,Kingston PCT,33,6,27,,21,8,33,,,,
5LD,E16000058,Lambeth PCT,159,21,138,,52,14,90,,,,
5LF,E16000060,Lewisham PCT,145,17,128,,52,13,91,,,,
5C5,E16000012,Newham PCT,66,19,47,,21,12,32,,,,
5NA,E16000083,Redbridge PCT,18,6,12,,6,4,8,,,,
5M6,E16000067,Richmond & Twickenham PCT,26,7,19,,14,8,20,,,,
5LE,E16000059,Southwark PCT,171,17,154,,59,12,106,,,,
5M7,E16000068,Sutton & Merton PCT,104,23,81,,27,12,41,,,,
5C4,E16000011,Tower Hamlets PCT,39,8,31,,15,6,25,,,,
5NC,E16000084,Waltham Forest PCT,22,*,*,,8,*,*,,,,
5LG,E16000061,Wandsworth PCT,67,10,57,,22,7,36,,,,
5LC,E16000057,Westminster PCT,72,24,48,,33,21,45,,,,
,,,,,,,,,,,,,
Q37,E18000008,South East Coast ,706,171,534,,16,8,23,,,,
5LQ,E16000063,Brighton & Hove City PCT,58,14,44,,21,10,32,,,,
5P7,E16000109,East Sussex Downs & Weald PCT,62,14,48,,18,8,27,,,,
5QA,E16000132,Eastern & Coastal Kent PCT,144,35,109,,19,9,28,,,,
5P8,E16000110,Hastings & Rother PCT,33,6,27,,18,7,28,,,,
5L3,E16000055,Medway PCT,50,11,39,,19,8,29,,,,
5P5,E16000107,Surrey PCT,129,40,89,,11,7,16,,,,
5P9,E16000111,West Kent PCT,106,27,79,,15,8,22,,,,
5P6,E16000108,West Sussex PCT,123,24,99,,15,6,24,,,,
,,,,,,,,,,,,,
Q38,E18000009,South Central ,446,132,314,,11,6,15,,,,
5QG,E16000137,Berkshire East PCT,19,*,*,,5,*,*,,,,
5QF,E16000136,Berkshire West PCT,51,16,35,,11,7,15,,,,
5QD,E16000134,Buckinghamshire PCT,46,14,32,,9,5,12,,,,
5QC,E16000133,Hampshire PCT,184,60,124,,14,9,18,,,,
5QT,E16000147,Isle of Wight PCT,18,*,*,,13,*,*,,,,
5CQ,E16000016,Milton Keynes PCT,40,9,31,,16,7,24,,,,
5QE,E16000135,Oxfordshire PCT,25,*,*,,4,*,*,,,,
5FE,E16000027,Portsmouth City Teaching PCT,29,11,18,,14,11,18,,,,
5L1,E16000054,Southampton City PCT,33,11,22,,14,9,19,,,,
,,,,,,,,,,,,,
Q39,E18000010,South West ,593,127,465,,11,5,17,,,,
5FL,E16000028,Bath & North East Somerset PCT,16,*,*,,9,*,*,,,,
5QN,E16000143,Bournemouth & Poole PCT,31,10,21,,9,6,13,,,,
5QJ,E16000139,Bristol PCT,27,*,*,,6,*,*,,,,
5QP,E16000144,Cornwall & Isles Of Scilly PCT,61,10,51,,11,4,18,,,,
5QQ,E16000145,Devon PCT,86,18,68,,12,5,18,,,,
5QM,E16000142,Dorset PCT,23,7,16,,6,3,8,,,,
5QH,E16000138,Gloucestershire PCT,38,7,31,,6,2,10,,,,
5M8,E16000069,North Somerset PCT,12,*,*,,6,*,*,,,,
5F1,E16000024,Plymouth Teaching PCT,56,18,38,,22,14,29,,,,
5QL,E16000141,Somerset PCT,76,17,59,,14,7,22,,,,
5A3,E16000001,South Gloucestershire PCT,18,*,*,,7,*,*,,,,
5K3,E16000044,Swindon PCT,34,6,28,,16,6,26,,,,
TAL,E17000003,Torbay Care Trust,11,*,*,,8,*,*,,,,
5QK,E16000140,Wiltshire PCT,104,14,90,,22,6,37,,,,
,,,,,,,,,,,,,
"1.  A finished consultant episode (FCE) is a continuous period of admitted patient care under one consultant within one healthcare provider. FCEs are counted against the year in which they end. Figures do not represent the number of different patients, as a person may have more than one episode of care within the same stay in hospital or in different stays in the same year.",,,,,,,,,,,,,
2. The primary diagnosis is the first of up to 20 (14 from 2002-03 to 2006-07 and 7 prior to 2002-03) diagnosis fields in the Hospital Episode Statistics (HES) data set and provides the main reason why the patient was admitted to hospital.,,,,,,,,,,,,,
3. ICD-10 Codes: E66 - Obesity.,,,,,,,,,,,,,
"4. These figures represent the number of episodes where the procedure (or intervention) was recorded in any of the 24 (12 from 2002/03 to 2006/07 and 4 prior to 2002/03) operative procedure fields in a Hospital Episode Statistics (HES) record. A record is only included once in each count, even if the procedure is recorded in more than one operative procedure field of the record. Please note that more procedures are carried out than episodes with a main or secondary procedure.  For example, patients under going a ‘cataract operation’ would tend to have at least two procedures – removal of the faulty lens and the fitting of a new one – counted in a single episode.",,,,,,,,,,,,,
"5. The term 'bariatric surgery' is often used to define a group of procedures that can be performed to facilitate weight loss although these procedures can be performed for conditions other than weight loss.  It includes stomach stapling, gastric bypasses and sleeve gastrectomy. The procedures for tables 7.12 and 7.13  show the defined range of procedures when a corresponding main diagnosis of Obesity (ICD10-E66) is also present. Definition of codes can be found in Appendix B.",,,,,,,,,,,,,
"6. All OPCS-4.2, OPCS-4.3, OPCS-4.4, OPCS-4.5 and OPCS-4.6 procedure codes used to define bariatric surgery are described in Appendix B.",,,,,,,,,,,,,
7. Figures have not been adjusted for shortfalls in data.,,,,,,,,,,,,,
"8. Counts include people resident in English Strategic Health Authorites (SHA) only, including admissions where the SHA of residence was England but not further specified and excludes admissions where the SHA of residence was unknown.",,,,,,,,,,,,,
"9. Office for National Statistics (ONS estimated resident population mid-2011 figures have been used to calculate FCEs per 100,000 population.  Information on ONS population data is available at: ",,,,,,,,,,,,,
http://www.ons.gov.uk/ons/rel/pop-estimate/population-estimates-for-england-and-wales/mid-2011--2011-census-based-/index.html,,,,,,,,,,,,,
10. Totals include episodes where the gender was unknown.,,,,,,,,,,,,,
11.  * in this table means a figure between 1 and 5.,,,,,,,,,,,,,
"12. Practices vary between hospitals as to whether some bariatric procedures are carried out in outpatient or inpatient settings. This may particularly be the case for maintenance procedures. OPCS-4.5 introduced a specific code for maintenance of gastric band. OPCS-4.5 was introduced in 2009/10. Use of this code may have contributed to the increase seen from this year. The data presented in this report are for inpatients only, so may not reflect all hospital activity. This should be considered when interpreting the data as practice may vary over time and between regions. See Appendix A for further detail on HES.  ",,,,,,,,,,,,,
,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,
"Hospital Episode Statistics (HES), Health and Social Care Information Centre.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Copyright © 2013. Health and Social Care Information Centre, Lifestyles Statistics. All rights reserved.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 7.9 Number of prescription items, net ingredient cost and average net ingredient cost per item of drugs for the treatment of obesity prescribed in Primary Care and dispensed in the community, 2000 to 2011",,,,,,,,,,,,,Back to contents
,,,,,,,,,,,,,
England,,,,,,,,,,,,Thousands / £,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
,,,,,,,,,,,,,
Prescription Items (thousands),,,,,,,,,,,,,
Orlistat,156,415,540,484,492,645,774,827,848,"1,080","1,087",898,
Sibutramine, -,53,196,203,208,226,263,294,325,370,22,0,
Rimonabant,-,-,-,-,-,-,23,112,106,-,0,0,
Mazindol,-,-,-,-,-,-,-,-,-,-,-,0,
Total,157,469,737,688,699,871,"1,060","1,233","1,278","1,450","1,109",898,
,,,,,,,,,,,,,
Net Ingredient Cost (£ 000),,,,,,,,,,,,,
Orlistat,"6,573","17,575","23,401","21,036","21,391","27,020","32,476","32,047","29,980","36,769","36,297","30,015",
Sibutramine, -,"2,030","7,752","8,458","9,314","10,984","13,654","13,093","9,595","10,024",595,1,
Rimonabant,-,-,-,-,-,-,"1,411","6,440","5,237",-,1,0,
Mazindol,,,,,,,,,,,,1,
Total,"6,613","19,659","31,203","29,532","30,706","38,004","47,541","51,580","44,812","46,793","36,892","30,017",
,,,,,,,,,,,,,
Net Ingredient Cost per item (£),,,,,,,,,,,,,
Orlistat,42,42,43,43,44,42,42,39,35,34,33,33,
Sibutramine, -,38,39,42,45,49,52,45,30,27,27,31,
Rimonabant,-,-,-,-,-,-,62,58,50,-,53,50,
Mazindol,-,-,-,-,-,-,-,-,-,-,-,120,
Total,42,42,42,43,44,44,45,42,35,32,33,33,
1.  Prescriptions are written on a prescription form known as a FP10. Each single item written on the form is counted as a prescription item.,,,,,,,,,,,,,
"2.  Net Ingredient Cost (NIC) is the basic cost of a drug. It does not take account of discounts, dispensing costs, fees or prescription charge income.",,,,,,,,,,,,,
"3.  This information was obtained from the Prescribing Analysis and Cost Tool  (PACT) system, which covers prescriptions prescribed by GPs, nurses, pharmacists and others in England and dispensed in the community in the UK. Prescriptions written in hospitals /clinics that are dispensed in the community, prescriptions dispensed in hospitals, dental prescribing and private prescriptions are not included in PACT data. ",,,,,,,,,,,,,
4.  Prescriptions written in England but dispensed outside England are included.,,,,,,,,,,,,,
"5.  Rimonabant was only available on prescription from July 2006, therefore figures for Rimonbant in 2006 only reflect six months worth of data.",,,,,,,,,,,,,
"6. On 16th January 2009, the European Commission issued a decision to withdraw the marketing authorisation for Rimonabant (Acomplia) following an assessment of the benefits and risks of taking this medicine.",,,,,,,,,,,,,
"7.  Up until 2007 'total' included other drugs that may be used to treat obesity which include Mazindol, Phentermine and Diethylpropion Hydrochloride.",,,,,,,,,,,,,
"8. On 21st January 2010, the European Medicines Agency (EMA) released a statement advising the suspension of sibutramine following a study which showed that there was an increased risk of non-fatal heart attacks and strokes outweighing the benefits of this weight loss drug. Therefore, data on Sibutramine will be limited for 2010.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,
"Prescribing Analyses and Cost (PACT) from the Prescription Pricing Division of the NHS Business Services Authority (PPD of the NHS BSA). Health and Social Care Information Centre, Lifestyles Statistics.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Copyright © 2013, re-used with the permission of the Prescription Pricing Division.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Copyright © 2013. Health and Social Care Information Centre, Lifestyles Statistics. All rights reserved.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 7.10 Number of prescription items of drugs for the treatment of obesity prescribed in Primary Care and dispensed in the community, by Strategic Health Authority (SHA), 2011",,,,,,,Back to contents,,,,,,
,,,,,,,,,,,,,
England,,,,,,,,,,,,,
,Prescription Items (thousands),,,"Prescription Items (thousands) per 100,000 population",,,,,,,,,
,Total,Orlistat,,Total,Orlistat,,,,,,,,
,,,,,,,,,,,,,
England,898,898,,1.69,1.69,,,,,,,,
,,,,,,,,,,,,,
North East SHA,58,58,,2.23,2.23,,,,,,,,
North West SHA,153,153,,2.17,2.17,,,,,,,,
Yorkshire and the Humber SHA,111,111,,2.1,2.1,,,,,,,,
East Midlands SHA,74,74,,1.63,1.63,,,,,,,,
West Midlands SHA,103,103,,1.84,1.84,,,,,,,,
East of England SHA,83,83,,1.42,1.42,,,,,,,,
London SHA,137,137,,1.67,1.67,,,,,,,,
South East Coast,63,63,,1.41,1.41,,,,,,,,
South Central,41,41,,0.99,0.99,,,,,,,,
South West SHA,73,73,,1.37,1.37,,,,,,,,
,,,,,,,,,,,,,
1.  Prescriptions are written on a prescription form known as a FP10.  Each single item written on the form is counted as a prescription item.,,,,,,,,,,,,,
"2.  This information was obtained from the Prescribing Analysis and Cost Tool  (PACT) system, which covers prescriptions prescribed by GPs, nurses, pharmacists and others in England and dispensed in the community in the UK. Prescriptions written in hospitals /clinics that are dispensed in the community, prescriptions dispensed in hospitals, dental prescribing and private prescriptions are not included in PACT data.",,,,,,,,,,,,,
"3.  For data at Strategic Health Authority (SHA) level, prescriptions written by a prescriber located in a particular SHA but dispensed outside that SHA will be included in the SHA in which the prescriber is based.",,,,,,,,,,,,,
4.  Prescriptions written in England but dispensed outside England are included.,,,,,,,,,,,,,
"5. Office for National Statistics (ONS) estimated resident population mid-2010 figures have been used to calculate prescription items per 100,000 population.  Information on ONS population data is available at: ",,,,,,,,,,,,,
http://www.ons.gov.uk/ons/rel/pop-estimate/population-estimates-for-england-and-wales/mid-2011--2011-census-based-/index.html,,,,,,,,,,,,,
6.  The 'Total' column includes Sibutramine which is not shown separately due to limited data for 2010 and may not equal the sum of the individual drugs due to rounding.,,,,,,,,,,,,,
7.  The England figures include an unidentified Doctors element (where it is not possible for the Prescription Pricing Division of the Business Service Authority to allocate to a SHA).,,,,,,,,,,,,,
,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,
"Prescribing Analyses and Cost (PACT) from the Prescription Pricing Division of the NHS Business Services Authority (PPD of the NHS BSA). Health and Social Care Information Centre, Lifestyles Statistics.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Copyright © 2013, re-used with the permission of the Prescription Pricing Division.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Copyright © 2013. Health and Social Care Information Centre, Lifestyles Statistics. All rights reserved.",,,,,,,,,,,,,
