OrganisationID	OrganisationCode	OrganisationName	MetricName	Value	Text,
979210	00MR	Portsmouth City Council	User satisfaction	60.8	60.8 of users are satisfied with their care and support Below average,
979210	00MR	Portsmouth City Council	Users' quality of life	18.9	18.9 out of 24 Average,
979213	00MC	Reading Borough Council	Carer satisfaction	41.9%	41.9% of carers are satisfied with their care and support Around average,
979213	00MC	Reading Borough Council	Carer's quality of life	8.5	8.5 out of 12 Above average,
979213	00MC	Reading Borough Council	Permanent admissions to care homes: younger adults	19.9	19.9 admissions per 100,000 younger adults In the highest 20%
979213	00MC	Reading Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	69%	Around average - 69%% of users of social care services felt safe,
979213	00MC	Reading Borough Council	User satisfaction	62	62 of users are satisfied with their care and support Around average,
979213	00MC	Reading Borough Council	Users' quality of life	19.3	19.3 out of 24 Average,
979214	00BC	London Borough of Redbridge	Carer satisfaction	46.5%	46.5% of carers are satisfied with their care and support Around average,
979214	00BC	London Borough of Redbridge	Carer's quality of life	8.6	8.6 out of 12 Above average,
979214	00BC	London Borough of Redbridge	Permanent admissions to care homes: younger adults	6.7	6.7 admissions per 100,000 younger adults In the lowest 20%
979214	00BC	London Borough of Redbridge	The proportion of people aged 65 and over who use social care services who feel safe	71.40%	Above average - 71.40%% of users of social care services felt safe,
979214	00BC	London Borough of Redbridge	User satisfaction	76.5	76.5 of users are satisfied with their care and support Above average,
979214	00BC	London Borough of Redbridge	Users' quality of life	20.1	20.1 out of 24 Above average,
979215	00EE	Redcar and Cleveland Council	Carer satisfaction	54.5%	54.5% of carers are satisfied with their care and support Above average,
979215	00EE	Redcar and Cleveland Council	Carer's quality of life	8.7	8.7 out of 12 Above average,
979215	00EE	Redcar and Cleveland Council	Permanent admissions to care homes: younger adults	26.4	26.4 admissions per 100,000 younger adults In the highest 20%
979215	00EE	Redcar and Cleveland Council	The proportion of people aged 65 and over who use social care services who feel safe	64.70%	Around average - 64.70%% of users of social care services felt safe,
979215	00EE	Redcar and Cleveland Council	User satisfaction	66.3	66.3 of users are satisfied with their care and support Around average,
979215	00EE	Redcar and Cleveland Council	Users' quality of life	18.7	18.7 out of 24 Average,
979219	00BD	London Borough of Richmond upon Thames	Carer satisfaction	36.1%	36.1% of carers are satisfied with their care and support Below average,
979219	00BD	London Borough of Richmond upon Thames	Carer's quality of life	8	8 out of 12 Around average,
979219	00BD	London Borough of Richmond upon Thames	Permanent admissions to care homes: younger adults	5	5 admissions per 100,000 younger adults In the lowest 20%
979219	00BD	London Borough of Richmond upon Thames	The proportion of people aged 65 and over who use social care services who feel safe	70.50%	Around average - 70.50%% of users of social care services felt safe,
979219	00BD	London Borough of Richmond upon Thames	User satisfaction	61.2	61.2 of users are satisfied with their care and support Around average,
979219	00BD	London Borough of Richmond upon Thames	Users' quality of life	19.2	19.2 out of 24 Average,
979221	00BQ	Rochdale Metropolitan Borough Council	Carer satisfaction	45.9%	45.9% of carers are satisfied with their care and support Around average,
979221	00BQ	Rochdale Metropolitan Borough Council	Carer's quality of life	8.3	8.3 out of 12 Around average,
979221	00BQ	Rochdale Metropolitan Borough Council	Permanent admissions to care homes: younger adults	10.9	10.9 admissions per 100,000 younger adults In the middle 60%
979221	00BQ	Rochdale Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	55.30%	Below average - 55.30%% of users of social care services felt safe,
979221	00BQ	Rochdale Metropolitan Borough Council	User satisfaction	63.1	63.1 of users are satisfied with their care and support Around average,
979221	00BQ	Rochdale Metropolitan Borough Council	Users' quality of life	18.7	18.7 out of 24 Average,
979225	00CF	Rotherham Metropolitan Borough Council	Carer satisfaction	56.5%	56.5% of carers are satisfied with their care and support Above average,
979225	00CF	Rotherham Metropolitan Borough Council	Carer's quality of life	8.8	8.8 out of 12 Above average,
979225	00CF	Rotherham Metropolitan Borough Council	Permanent admissions to care homes: younger adults	12.3	12.3 admissions per 100,000 younger adults In the middle 60%
979225	00CF	Rotherham Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	68.80%	Around average - 68.80%% of users of social care services felt safe,
979225	00CF	Rotherham Metropolitan Borough Council	User satisfaction	74.7	74.7 of users are satisfied with their care and support Above average,
979225	00CF	Rotherham Metropolitan Borough Council	Users' quality of life	19.4	19.4 out of 24 Above average,
979230	00FP	Rutland County Council	Carer satisfaction	62.4%	62.4% of carers are satisfied with their care and support Above average,
979230	00FP	Rutland County Council	Carer's quality of life	9	9 out of 12 Above average,
979230	00FP	Rutland County Council	The proportion of people aged 65 and over who use social care services who feel safe	73.80%	Above average - 73.80%% of users of social care services felt safe,
979230	00FP	Rutland County Council	User satisfaction	67.7	67.7 of users are satisfied with their care and support Around average,
979230	00FP	Rutland County Council	Users' quality of life	18.9	18.9 out of 24 Average,
979232	00BR	Salford City Council	Carer satisfaction	48.8%	48.8% of carers are satisfied with their care and support Above average,
979232	00BR	Salford City Council	Carer's quality of life	8	8 out of 12 Around average,
979232	00BR	Salford City Council	Permanent admissions to care homes: younger adults	15.1	15.1 admissions per 100,000 younger adults In the middle 60%
979232	00BR	Salford City Council	The proportion of people aged 65 and over who use social care services who feel safe	57.20%	Below average - 57.20%% of users of social care services felt safe,
979232	00BR	Salford City Council	User satisfaction	65.4	65.4 of users are satisfied with their care and support Around average,
979232	00BR	Salford City Council	Users' quality of life	18.2	18.2 out of 24 Below average,
979233	00CS	Sandwell Metropolitan Borough Council	Carer satisfaction	39.5%	39.5% of carers are satisfied with their care and support Around average,
979233	00CS	Sandwell Metropolitan Borough Council	Carer's quality of life	8	8 out of 12 Around average,
979233	00CS	Sandwell Metropolitan Borough Council	Permanent admissions to care homes: younger adults	8.4	8.4 admissions per 100,000 younger adults In the lowest 20%
979233	00CS	Sandwell Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	73.60%	Above average - 73.60%% of users of social care services felt safe,
979233	00CS	Sandwell Metropolitan Borough Council	User satisfaction	64.9	64.9 of users are satisfied with their care and support Around average,
979233	00CS	Sandwell Metropolitan Borough Council	Users' quality of life	19.2	19.2 out of 24 Average,
979236	00CA	Sefton Metropolitan Borough Council	Carer satisfaction	46.4%	46.4% of carers are satisfied with their care and support Around average,
979236	00CA	Sefton Metropolitan Borough Council	Carer's quality of life	8.1	8.1 out of 12 Around average,
979236	00CA	Sefton Metropolitan Borough Council	Permanent admissions to care homes: younger adults	13.8	13.8 admissions per 100,000 younger adults In the middle 60%
979236	00CA	Sefton Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	68.70%	Around average - 68.70%% of users of social care services felt safe,
979236	00CA	Sefton Metropolitan Borough Council	User satisfaction	71.3	71.3 of users are satisfied with their care and support Above average,
979236	00CA	Sefton Metropolitan Borough Council	Users' quality of life	19	19 out of 24 Average,
979239	00CG	Sheffield City Council	Carer satisfaction	38.9%	38.9% of carers are satisfied with their care and support Around average,
979239	00CG	Sheffield City Council	Carer's quality of life	8.1	8.1 out of 12 Around average,
979239	00CG	Sheffield City Council	Permanent admissions to care homes: younger adults	14.9	14.9 admissions per 100,000 younger adults In the middle 60%
979239	00CG	Sheffield City Council	The proportion of people aged 65 and over who use social care services who feel safe	58.80%	Below average - 58.80%% of users of social care services felt safe,
979239	00CG	Sheffield City Council	User satisfaction	66.3	66.3 of users are satisfied with their care and support Around average,
979239	00CG	Sheffield City Council	Users' quality of life	18.5	18.5 out of 24 Below average,
979241	00GG	Shropshire Council (Unitary)	Carer satisfaction	42.3%	42.3% of carers are satisfied with their care and support Around average,
979241	00GG	Shropshire Council (Unitary)	Carer's quality of life	8	8 out of 12 Around average,
979241	00GG	Shropshire Council (Unitary)	Permanent admissions to care homes: younger adults	12.2	12.2 admissions per 100,000 younger adults In the middle 60%
979241	00GG	Shropshire Council (Unitary)	The proportion of people aged 65 and over who use social care services who feel safe	62.80%	Around average - 62.80%% of users of social care services felt safe,
979241	00GG	Shropshire Council (Unitary)	User satisfaction	66.3	66.3 of users are satisfied with their care and support Around average,
979241	00GG	Shropshire Council (Unitary)	Users' quality of life	18.5	18.5 out of 24 Below average,
979242	00MD	Slough Borough Council	Carer satisfaction	34.9%	34.9% of carers are satisfied with their care and support Around average,
979242	00MD	Slough Borough Council	Carer's quality of life	8.3	8.3 out of 12 Around average,
979242	00MD	Slough Borough Council	Permanent admissions to care homes: younger adults	11	11 admissions per 100,000 younger adults In the middle 60%
979242	00MD	Slough Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	64.90%	Around average - 64.90%% of users of social care services felt safe,
979242	00MD	Slough Borough Council	User satisfaction	58	58 of users are satisfied with their care and support Below average,
979242	00MD	Slough Borough Council	Users' quality of life	18.4	18.4 out of 24 Below average,
979243	00CT	Solihull Metropolitan Borough Council	Carer satisfaction	37.3%	37.3% of carers are satisfied with their care and support Below average,
979243	00CT	Solihull Metropolitan Borough Council	Carer's quality of life	7.7	7.7 out of 12 Below average,
979243	00CT	Solihull Metropolitan Borough Council	Permanent admissions to care homes: younger adults	14	14 admissions per 100,000 younger adults In the middle 60%
979243	00CT	Solihull Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	62.70%	Around average - 62.70%% of users of social care services felt safe,
979243	00CT	Solihull Metropolitan Borough Council	User satisfaction	64.7	64.7 of users are satisfied with their care and support Around average,
979243	00CT	Solihull Metropolitan Borough Council	Users' quality of life	18.5	18.5 out of 24 Below average,
979244	40	Somerset County Council	Carer satisfaction	49.2%	49.2% of carers are satisfied with their care and support Above average,
979244	40	Somerset County Council	Carer's quality of life	8.3	8.3 out of 12 Around average,
979244	40	Somerset County Council	Permanent admissions to care homes: younger adults	15.9	15.9 admissions per 100,000 younger adults In the middle 60%
979244	40	Somerset County Council	The proportion of people aged 65 and over who use social care services who feel safe	67.10%	Around average - 67.10%% of users of social care services felt safe,
979244	40	Somerset County Council	User satisfaction	66.4	66.4 of users are satisfied with their care and support Around average,
979244	40	Somerset County Council	Users' quality of life	19.3	19.3 out of 24 Average,
979248	00HD	South Gloucestershire Council	Carer satisfaction	41.2%	41.2% of carers are satisfied with their care and support Around average,
979248	00HD	South Gloucestershire Council	Carer's quality of life	8.1	8.1 out of 12 Around average,
979248	00HD	South Gloucestershire Council	Permanent admissions to care homes: younger adults	17.1	17.1 admissions per 100,000 younger adults In the middle 60%
979248	00HD	South Gloucestershire Council	The proportion of people aged 65 and over who use social care services who feel safe	70%	Above average - 70%% of users of social care services felt safe,
979248	00HD	South Gloucestershire Council	User satisfaction	63.4	63.4 of users are satisfied with their care and support Around average,
979248	00HD	South Gloucestershire Council	Users' quality of life	19.3	19.3 out of 24 Average,
979259	00CL	South Tyneside Council	Carer satisfaction	45.6%	45.6% of carers are satisfied with their care and support Around average,
979259	00CL	South Tyneside Council	Carer's quality of life	8	8 out of 12 Around average,
979259	00CL	South Tyneside Council	Permanent admissions to care homes: younger adults	14.3	14.3 admissions per 100,000 younger adults In the middle 60%
979259	00CL	South Tyneside Council	The proportion of people aged 65 and over who use social care services who feel safe	69.70%	Around average - 69.70%% of users of social care services felt safe,
979259	00CL	South Tyneside Council	User satisfaction	69	69 of users are satisfied with their care and support Around average,
979259	00CL	South Tyneside Council	Users' quality of life	19.2	19.2 out of 24 Average,
979260	00MS	Southampton City Council	Carer satisfaction	40.2%	40.2% of carers are satisfied with their care and support Around average,
979260	00MS	Southampton City Council	Carer's quality of life	8.5	8.5 out of 12 Above average,
979260	00MS	Southampton City Council	Permanent admissions to care homes: younger adults	22.8	22.8 admissions per 100,000 younger adults In the highest 20%
979260	00MS	Southampton City Council	The proportion of people aged 65 and over who use social care services who feel safe	59.40%	Below average - 59.40%% of users of social care services felt safe,
979260	00MS	Southampton City Council	User satisfaction	63	63 of users are satisfied with their care and support Around average,
979260	00MS	Southampton City Council	Users' quality of life	18.6	18.6 out of 24 Average,
979261	00KF	Southend-on-Sea Borough Council	Carer satisfaction	43.8%	43.8% of carers are satisfied with their care and support Around average,
979261	00KF	Southend-on-Sea Borough Council	Carer's quality of life	8	8 out of 12 Around average,
979261	00KF	Southend-on-Sea Borough Council	Permanent admissions to care homes: younger adults	5.7	5.7 admissions per 100,000 younger adults In the lowest 20%
979261	00KF	Southend-on-Sea Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	69.10%	Around average - 69.10%% of users of social care services felt safe,
979261	00KF	Southend-on-Sea Borough Council	User satisfaction	61.1	61.1 of users are satisfied with their care and support Around average,
979261	00KF	Southend-on-Sea Borough Council	Users' quality of life	18.8	18.8 out of 24 Average,
979262	00BE	London Borough of Southwark	Carer satisfaction	44.4%	44.4% of carers are satisfied with their care and support Around average,
979262	00BE	London Borough of Southwark	Carer's quality of life	7.4	7.4 out of 12 Below average,
979262	00BE	London Borough of Southwark	Permanent admissions to care homes: younger adults	8.4	8.4 admissions per 100,000 younger adults In the lowest 20%
979262	00BE	London Borough of Southwark	The proportion of people aged 65 and over who use social care services who feel safe	60.40%	Below average - 60.40%% of users of social care services felt safe,
979262	00BE	London Borough of Southwark	User satisfaction	53.3	53.3 of users are satisfied with their care and support Below average,
979262	00BE	London Borough of Southwark	Users' quality of life	18.2	18.2 out of 24 Below average,
979265	00BZ	St Helens Metropolitan Borough Council	Carer satisfaction	46.3%	46.3% of carers are satisfied with their care and support Around average,
979265	00BZ	St Helens Metropolitan Borough Council	Carer's quality of life	8.7	8.7 out of 12 Above average,
979265	00BZ	St Helens Metropolitan Borough Council	Permanent admissions to care homes: younger adults	14.2	14.2 admissions per 100,000 younger adults In the middle 60%
979265	00BZ	St Helens Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	64.50%	Around average - 64.50%% of users of social care services felt safe,
979265	00BZ	St Helens Metropolitan Borough Council	User satisfaction	65.5	65.5 of users are satisfied with their care and support Around average,
979265	00BZ	St Helens Metropolitan Borough Council	Users' quality of life	19.4	19.4 out of 24 Average,
979267	41	Staffordshire County Council	Carer satisfaction	48.0%	48.0% of carers are satisfied with their care and support Above average,
979267	41	Staffordshire County Council	Carer's quality of life	8.5	8.5 out of 12 Above average,
979267	41	Staffordshire County Council	Permanent admissions to care homes: younger adults	14	14 admissions per 100,000 younger adults In the middle 60%
979267	41	Staffordshire County Council	The proportion of people aged 65 and over who use social care services who feel safe	62%	Around average - 62%% of users of social care services felt safe,
979267	41	Staffordshire County Council	User satisfaction	67.6	67.6 of users are satisfied with their care and support Around average,
979267	41	Staffordshire County Council	Users' quality of life	18.7	18.7 out of 24 Average,
979270	00BS	Stockport Metropolitan Borough Council	Carer satisfaction	52.0%	52.0% of carers are satisfied with their care and support Above average,
979270	00BS	Stockport Metropolitan Borough Council	Carer's quality of life	8.4	8.4 out of 12 Above average,
979270	00BS	Stockport Metropolitan Borough Council	Permanent admissions to care homes: younger adults	11.8	11.8 admissions per 100,000 younger adults In the middle 60%
979270	00BS	Stockport Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	61.90%	Around average - 61.90%% of users of social care services felt safe,
979270	00BS	Stockport Metropolitan Borough Council	User satisfaction	69.1	69.1 of users are satisfied with their care and support Around average,
979270	00BS	Stockport Metropolitan Borough Council	Users' quality of life	18.9	18.9 out of 24 Average,
979271	00EF	Stockton-on-Tees Borough Council	Carer satisfaction	45.8%	45.8% of carers are satisfied with their care and support Around average,
979271	00EF	Stockton-on-Tees Borough Council	Carer's quality of life	8.9	8.9 out of 12 Above average,
979271	00EF	Stockton-on-Tees Borough Council	Permanent admissions to care homes: younger adults	17.7	17.7 admissions per 100,000 younger adults In the highest 20%
979271	00EF	Stockton-on-Tees Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	61.60%	Around average - 61.60%% of users of social care services felt safe,
979271	00EF	Stockton-on-Tees Borough Council	User satisfaction	71	71 of users are satisfied with their care and support Above average,
979271	00EF	Stockton-on-Tees Borough Council	Users' quality of life	19.1	19.1 out of 24 Average,
979272	00GL	Stoke-on-Trent City Council	Carer satisfaction	41.5%	41.5% of carers are satisfied with their care and support Around average,
979272	00GL	Stoke-on-Trent City Council	Carer's quality of life	8.2	8.2 out of 12 Around average,
979272	00GL	Stoke-on-Trent City Council	Permanent admissions to care homes: younger adults	13	13 admissions per 100,000 younger adults In the middle 60%
979272	00GL	Stoke-on-Trent City Council	The proportion of people aged 65 and over who use social care services who feel safe	63.20%	Around average - 63.20%% of users of social care services felt safe,
979272	00GL	Stoke-on-Trent City Council	User satisfaction	64.6	64.6 of users are satisfied with their care and support Around average,
979272	00GL	Stoke-on-Trent City Council	Users' quality of life	18.6	18.6 out of 24 Average,
979275	42	Suffolk County Council	Carer satisfaction	36.5%	36.5% of carers are satisfied with their care and support Below average,
979275	42	Suffolk County Council	Carer's quality of life	7.5	7.5 out of 12 Below average,
979275	42	Suffolk County Council	Permanent admissions to care homes: younger adults	13.1	13.1 admissions per 100,000 younger adults In the middle 60%
979275	42	Suffolk County Council	The proportion of people aged 65 and over who use social care services who feel safe	69.50%	Around average - 69.50%% of users of social care services felt safe,
979275	42	Suffolk County Council	User satisfaction	67.5	67.5 of users are satisfied with their care and support Around average,
979275	42	Suffolk County Council	Users' quality of life	19	19 out of 24 Average,
979277	00CM	Sunderland City Council	Carer satisfaction	45.6%	45.6% of carers are satisfied with their care and support Around average,
979277	00CM	Sunderland City Council	Carer's quality of life	8	8 out of 12 Around average,
979277	00CM	Sunderland City Council	Permanent admissions to care homes: younger adults	15.1	15.1 admissions per 100,000 younger adults In the middle 60%
979277	00CM	Sunderland City Council	The proportion of people aged 65 and over who use social care services who feel safe	76.10%	Above average - 76.10%% of users of social care services felt safe,
979277	00CM	Sunderland City Council	User satisfaction	67.1	67.1 of users are satisfied with their care and support Around average,
979277	00CM	Sunderland City Council	Users' quality of life	19.6	19.6 out of 24 Above average,
979278	43	Surrey County Council	Carer satisfaction	39.3%	39.3% of carers are satisfied with their care and support Around average,
979278	43	Surrey County Council	Carer's quality of life	7.8	7.8 out of 12 Below average,
979278	43	Surrey County Council	Permanent admissions to care homes: younger adults	9	9 admissions per 100,000 younger adults In the lowest 20%
979278	43	Surrey County Council	The proportion of people aged 65 and over who use social care services who feel safe	70.40%	Above average - 70.40%% of users of social care services felt safe,
979278	43	Surrey County Council	User satisfaction	71.7	71.7 of users are satisfied with their care and support Above average,
979278	43	Surrey County Council	Users' quality of life	19.6	19.6 out of 24 Above average,
979280	00BF	London Borough of Sutton	Carer satisfaction	27.9%	27.9% of carers are satisfied with their care and support Below average,
979280	00BF	London Borough of Sutton	Carer's quality of life	7.4	7.4 out of 12 Below average,
979280	00BF	London Borough of Sutton	The proportion of people aged 65 and over who use social care services who feel safe	63.20%	Around average - 63.20%% of users of social care services felt safe,
979280	00BF	London Borough of Sutton	User satisfaction	59	59 of users are satisfied with their care and support Below average,
979280	00BF	London Borough of Sutton	Users' quality of life	18.6	18.6 out of 24 Average,
979282	00HX	Swindon Borough Council	Carer satisfaction	35.5%	35.5% of carers are satisfied with their care and support Below average,
979282	00HX	Swindon Borough Council	Carer's quality of life	8.2	8.2 out of 12 Around average,
979282	00HX	Swindon Borough Council	Permanent admissions to care homes: younger adults	8.2	8.2 admissions per 100,000 younger adults In the lowest 20%
979282	00HX	Swindon Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	59.10%	Below average - 59.10%% of users of social care services felt safe,
979282	00HX	Swindon Borough Council	User satisfaction	66.5	66.5 of users are satisfied with their care and support Around average,
979282	00HX	Swindon Borough Council	Users' quality of life	18.6	18.6 out of 24 Average,
979283	00BT	Tameside Metropolitan Borough Council	Carer satisfaction	42.7%	42.7% of carers are satisfied with their care and support Around average,
979283	00BT	Tameside Metropolitan Borough Council	Carer's quality of life	8.2	8.2 out of 12 Around average,
979283	00BT	Tameside Metropolitan Borough Council	Permanent admissions to care homes: younger adults	16.3	16.3 admissions per 100,000 younger adults In the middle 60%
979283	00BT	Tameside Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	62%	Around average - 62%% of users of social care services felt safe,
979283	00BT	Tameside Metropolitan Borough Council	User satisfaction	61.6	61.6 of users are satisfied with their care and support Around average,
979283	00BT	Tameside Metropolitan Borough Council	Users' quality of life	18.4	18.4 out of 24 Below average,
979288	00GF	Telford & Wrekin Council	Carer satisfaction	48.4%	48.4% of carers are satisfied with their care and support Above average,
979288	00GF	Telford & Wrekin Council	Carer's quality of life	8	8 out of 12 Around average,
979288	00GF	Telford & Wrekin Council	Permanent admissions to care homes: younger adults	16.5	16.5 admissions per 100,000 younger adults In the middle 60%
979288	00GF	Telford & Wrekin Council	The proportion of people aged 65 and over who use social care services who feel safe	63.80%	Around average - 63.80%% of users of social care services felt safe,
979288	00GF	Telford & Wrekin Council	User satisfaction	61.8	61.8 of users are satisfied with their care and support Around average,
979288	00GF	Telford & Wrekin Council	Users' quality of life	18.9	18.9 out of 24 Average,
979294	00KG	Thurrock Council	Carer satisfaction	45.4%	45.4% of carers are satisfied with their care and support Around average,
979294	00KG	Thurrock Council	Carer's quality of life	8.7	8.7 out of 12 Above average,
979294	00KG	Thurrock Council	Permanent admissions to care homes: younger adults	12	12 admissions per 100,000 younger adults In the middle 60%
979294	00KG	Thurrock Council	The proportion of people aged 65 and over who use social care services who feel safe	64.20%	Around average - 64.20%% of users of social care services felt safe,
979294	00KG	Thurrock Council	User satisfaction	62.4	62.4 of users are satisfied with their care and support Around average,
979294	00KG	Thurrock Council	Users' quality of life	18.5	18.5 out of 24 Below average,
979296	00HH	Torbay Council	Carer satisfaction	45.9%	45.9% of carers are satisfied with their care and support Around average,
979296	00HH	Torbay Council	Carer's quality of life	8.2	8.2 out of 12 Around average,
979296	00HH	Torbay Council	Permanent admissions to care homes: younger adults	36.4	36.4 admissions per 100,000 younger adults In the highest 20%
979296	00HH	Torbay Council	The proportion of people aged 65 and over who use social care services who feel safe	62.30%	Around average - 62.30%% of users of social care services felt safe,
979296	00HH	Torbay Council	User satisfaction	68.5	68.5 of users are satisfied with their care and support Around average,
979296	00HH	Torbay Council	Users' quality of life	18.8	18.8 out of 24 Average,
979298	00BG	London Borough of Tower Hamlets	Carer satisfaction	28.4%	28.4% of carers are satisfied with their care and support Below average,
979298	00BG	London Borough of Tower Hamlets	Carer's quality of life	7.3	7.3 out of 12 Below average,
979298	00BG	London Borough of Tower Hamlets	Permanent admissions to care homes: younger adults	9.2	9.2 admissions per 100,000 younger adults In the lowest 20%
979298	00BG	London Borough of Tower Hamlets	The proportion of people aged 65 and over who use social care services who feel safe	63.50%	Around average - 63.50%% of users of social care services felt safe,
979298	00BG	London Borough of Tower Hamlets	User satisfaction	65.8	65.8 of users are satisfied with their care and support Around average,
979298	00BG	London Borough of Tower Hamlets	Users' quality of life	18.5	18.5 out of 24 Below average,
979299	00BU	Trafford Metropolitan Borough Council	Carer satisfaction	42.3%	42.3% of carers are satisfied with their care and support Around average,
979299	00BU	Trafford Metropolitan Borough Council	Carer's quality of life	8	8 out of 12 Around average,
979299	00BU	Trafford Metropolitan Borough Council	Permanent admissions to care homes: younger adults	7.9	7.9 admissions per 100,000 younger adults In the lowest 20%
979299	00BU	Trafford Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	66.40%	Around average - 66.40%% of users of social care services felt safe,
979299	00BU	Trafford Metropolitan Borough Council	User satisfaction	65.5	65.5 of users are satisfied with their care and support Around average,
979299	00BU	Trafford Metropolitan Borough Council	Users' quality of life	18.9	18.9 out of 24 Average,
979303	00DB	Wakefield Metropolitan District Council	Carer satisfaction	49.4%	49.4% of carers are satisfied with their care and support Above average,
979303	00DB	Wakefield Metropolitan District Council	Carer's quality of life	8.2	8.2 out of 12 Around average,
979303	00DB	Wakefield Metropolitan District Council	Permanent admissions to care homes: younger adults	10.9	10.9 admissions per 100,000 younger adults In the middle 60%
979303	00DB	Wakefield Metropolitan District Council	The proportion of people aged 65 and over who use social care services who feel safe	70.50%	Around average - 70.50%% of users of social care services felt safe,
979303	00DB	Wakefield Metropolitan District Council	User satisfaction	64.5	64.5 of users are satisfied with their care and support Around average,
979303	00DB	Wakefield Metropolitan District Council	Users' quality of life	19	19 out of 24 Average,
979304	00CU	Walsall Metropolitan Borough Council	Carer satisfaction	33.1%	33.1% of carers are satisfied with their care and support Below average,
979304	00CU	Walsall Metropolitan Borough Council	Carer's quality of life	7.4	7.4 out of 12 Below average,
979304	00CU	Walsall Metropolitan Borough Council	Permanent admissions to care homes: younger adults	5.6	5.6 admissions per 100,000 younger adults In the lowest 20%
979304	00CU	Walsall Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	72.60%	Above average - 72.60%% of users of social care services felt safe,
979304	00CU	Walsall Metropolitan Borough Council	User satisfaction	64	64 of users are satisfied with their care and support Around average,
979304	00CU	Walsall Metropolitan Borough Council	Users' quality of life	19.1	19.1 out of 24 Average,
979305	00BH	London Borough of Waltham Forest	Carer satisfaction	25.8%	25.8% of carers are satisfied with their care and support Below average,
979305	00BH	London Borough of Waltham Forest	Carer's quality of life	7.4	7.4 out of 12 Below average,
979305	00BH	London Borough of Waltham Forest	Permanent admissions to care homes: younger adults	6.3	6.3 admissions per 100,000 younger adults In the lowest 20%
979305	00BH	London Borough of Waltham Forest	The proportion of people aged 65 and over who use social care services who feel safe	60.10%	Below average - 60.10%% of users of social care services felt safe,
979305	00BH	London Borough of Waltham Forest	User satisfaction	55.2	55.2 of users are satisfied with their care and support Below average,
979305	00BH	London Borough of Waltham Forest	Users' quality of life	18.1	18.1 out of 24 Below average,
979306	00BJ	London Borough of Wandsworth	Carer satisfaction	33.7%	33.7% of carers are satisfied with their care and support Below average,
979306	00BJ	London Borough of Wandsworth	Carer's quality of life	7.7	7.7 out of 12 Below average,
979306	00BJ	London Borough of Wandsworth	Permanent admissions to care homes: younger adults	4	4 admissions per 100,000 younger adults In the lowest 20%
979306	00BJ	London Borough of Wandsworth	The proportion of people aged 65 and over who use social care services who feel safe	60.80%	Below average - 60.80%% of users of social care services felt safe,
979306	00BJ	London Borough of Wandsworth	User satisfaction	59	59 of users are satisfied with their care and support Below average,
979306	00BJ	London Borough of Wandsworth	Users' quality of life	18.6	18.6 out of 24 Below average,
979307	00EU	Warrington Borough Council	Carer satisfaction	43.1%	43.1% of carers are satisfied with their care and support Around average,
979307	00EU	Warrington Borough Council	Carer's quality of life	8.6	8.6 out of 12 Above average,
979307	00EU	Warrington Borough Council	Permanent admissions to care homes: younger adults	11.1	11.1 admissions per 100,000 younger adults In the middle 60%
979307	00EU	Warrington Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	73.90%	Above average - 73.90%% of users of social care services felt safe,
979307	00EU	Warrington Borough Council	User satisfaction	68.9	68.9 of users are satisfied with their care and support Around average,
979307	00EU	Warrington Borough Council	Users' quality of life	19.3	19.3 out of 24 Average,
979309	44	Warwickshire County Council	Carer satisfaction	51.4%	51.4% of carers are satisfied with their care and support Above average,
979309	44	Warwickshire County Council	Carer's quality of life	8.1	8.1 out of 12 Around average,
979309	44	Warwickshire County Council	Permanent admissions to care homes: younger adults	10.3	10.3 admissions per 100,000 younger adults In the middle 60%
979309	44	Warwickshire County Council	The proportion of people aged 65 and over who use social care services who feel safe	70.40%	Above average - 70.40%% of users of social care services felt safe,
979309	44	Warwickshire County Council	User satisfaction	62.6	62.6 of users are satisfied with their care and support Around average,
979309	44	Warwickshire County Council	Users' quality of life	18.8	18.8 out of 24 Average,
979316	00MB	West Berkshire Council	Carer satisfaction	45.5%	45.5% of carers are satisfied with their care and support Around average,
979316	00MB	West Berkshire Council	Carer's quality of life	8.4	8.4 out of 12 Around average,
979316	00MB	West Berkshire Council	Permanent admissions to care homes: younger adults	16	16 admissions per 100,000 younger adults In the middle 60%
979316	00MB	West Berkshire Council	The proportion of people aged 65 and over who use social care services who feel safe	63.90%	Around average - 63.90%% of users of social care services felt safe,
